time,outflux,scaled_outflux
4.39,0.94565733783604,2.9903576337051e+18
4.4,0.94610303013315,2.9917670018871e+18
4.41,0.94654506896879,2.9931648170931e+18
4.42,0.94698348424894,2.994551173892e+18
4.4299999999999,0.94741830563583,2.9959261660816e+18
4.4399999999999,0.94784956254993,2.9972898866954e+18
4.4499999999999,0.94827728417187,2.9986424280083e+18
4.4599999999999,0.94870149944435,2.9999838815429e+18
4.4699999999999,0.94912223707409,3.0013143380757e+18
4.4799999999999,0.94953952553373,3.0026338876428e+18
4.4899999999999,0.94995339306365,3.0039426195459e+18
4.4999999999999,0.95036386767392,3.0052406223585e+18
4.5099999999999,0.95077097714612,3.0065279839315e+18
4.5199999999999,0.95117474903515,3.007804791399e+18
4.5299999999999,0.95157521067112,3.0090711311842e+18
4.5399999999999,0.95197238916112,3.0103270890053e+18
4.5499999999999,0.95236631139103,3.0115727498807e+18
4.5599999999999,0.95275700402728,3.0128081981351e+18
4.5699999999999,0.95314449351868,3.0140335174048e+18
4.5799999999999,0.95352880609812,3.0152487906435e+18
4.5899999999999,0.95390996778435,3.0164541001277e+18
4.5999999999999,0.95428800438367,3.017649527462e+18
4.6099999999999,0.9546629414917,3.018835153585e+18
4.6199999999999,0.95503480449503,3.0200110587742e+18
4.6299999999999,0.95540361857296,3.0211773226514e+18
4.6399999999999,0.95576940869912,3.0223340241884e+18
4.6499999999999,0.95613219964321,3.0234812417117e+18
4.6599999999999,0.95649201597255,3.0246190529084e+18
4.6699999999999,0.95684888205383,3.0257475348306e+18
4.6799999999999,0.95720282205463,3.0268667639012e+18
4.6899999999999,0.95755385994511,3.0279768159184e+18
4.6999999999999,0.95790201949958,3.0290777660616e+18
4.7099999999999,0.95824732429807,3.0301696888954e+18
4.7199999999999,0.95858979772793,3.0312526583753e+18
4.7299999999999,0.9589294629854,3.0323267478524e+18
4.7399999999999,0.9592663430771,3.0333920300784e+18
4.7499999999999,0.95960046082166,3.0344485772103e+18
4.7599999999999,0.95993183885117,3.0354964608152e+18
4.7699999999999,0.96026049961273,3.0365357518754e+18
4.7799999999999,0.96058646536992,3.0375665207928e+18
4.7899999999999,0.96090975820434,3.0385888373938e+18
4.7999999999999,0.96123040001703,3.0396027709339e+18
4.8099999999999,0.96154841253,3.0406083901024e+18
4.8199999999999,0.9618638172876,3.0416057630269e+18
4.8299999999999,0.96217663565806,3.0425949572779e+18
4.8399999999999,0.96248688883484,3.0435760398735e+18
4.8499999999999,0.96279459783809,3.0445490772836e+18
4.8599999999999,0.96309978351606,3.0455141354345e+18
4.8699999999999,0.96340246654648,3.0464712797133e+18
4.8799999999999,0.96370266743796,3.0474205749723e+18
4.8899999999999,0.96400040653135,3.0483620855334e+18
4.8999999999999,0.96429570400113,3.0492958751924e+18
4.9099999999999,0.96458857985674,3.050222007223e+18
4.9199999999999,0.96487905394393,3.0511405443815e+18
4.9299999999999,0.96516714594609,3.0520515489107e+18
4.9399999999999,0.96545287538559,3.0529550825443e+18
4.9499999999999,0.96573626162505,3.0538512065107e+18
4.9599999999999,0.96601732386869,3.0547399815376e+18
4.9699999999999,0.96629608116357,3.0556214678554e+18
4.9799999999999,0.96657255240091,3.0564957252021e+18
4.9899999999999,0.96684675631734,3.0573628128267e+18
4.9999999999999,0.96711871149617,3.0582227894932e+18
5.0099999999999,0.96738843636861,3.0590757134848e+18
5.0199999999999,0.96765594921505,3.0599216426078e+18
5.0299999999999,0.96792126816628,3.0607606341954e+18
5.0399999999999,0.96818441120466,3.0615927451114e+18
5.0499999999999,0.96844539616539,3.0624180317542e+18
5.0599999999999,0.96870424073771,3.0632365500608e+18
5.0699999999999,0.96896096246602,3.0640483555101e+18
5.0799999999999,0.96921557875115,3.0648535031269e+18
5.0899999999999,0.96946810685146,3.0656520474857e+18
5.0999999999999,0.96971856388406,3.0664440427142e+18
5.1099999999999,0.96996696682589,3.0672295424968e+18
5.1199999999999,0.97021333251495,3.0680086000788e+18
5.1299999999999,0.97045767765136,3.0687812682691e+18
5.1399999999999,0.97070001879853,3.0695475994447e+18
5.1499999999999,0.97094037238424,3.0703076455534e+18
5.1599999999999,0.97117875470178,3.071061458118e+18
5.1699999999999,0.97141518191104,3.0718090882391e+18
5.1799999999999,0.97164967003957,3.0725505865991e+18
5.1899999999999,0.97188223498369,3.0732860034654e+18
5.1999999999999,0.97211289250956,3.0740153886937e+18
5.2099999999999,0.97234165825423,3.0747387917315e+18
5.2199999999999,0.9725685477267,3.0754562616214e+18
5.2299999999999,0.97279357630896,3.0761678470042e+18
5.2399999999999,0.97301675925704,3.0768735961226e+18
5.2499999999999,0.97323811170201,3.0775735568241e+18
5.2599999999999,0.97345764865105,3.0782677765644e+18
5.2699999999999,0.97367538498841,3.0789563024104e+18
5.2799999999999,0.97389133547644,3.0796391810436e+18
5.2899999999999,0.97410551475658,3.0803164587633e+18
5.2999999999999,0.97431793735035,3.0809881814893e+18
5.3099999999999,0.97452861766034,3.0816543947655e+18
5.3199999999999,0.97473756997116,3.0823151437628e+18
5.3299999999999,0.97494480845041,3.0829704732819e+18
5.3399999999999,0.97515034714964,3.0836204277566e+18
5.3499999999999,0.97535420000531,3.0842650512568e+18
5.3599999999999,0.97555638083971,3.0849043874913e+18
5.3699999999999,0.9757569033619,3.085538479811e+18
5.3799999999999,0.97595578116864,3.0861673712115e+18
5.3899999999999,0.97615302774531,3.0867911043362e+18
5.3999999999999,0.9763486564668,3.0874097214793e+18
5.4099999999999,0.97654268059845,3.0880232645884e+18
5.4199999999999,0.9767351132969,3.0886317752675e+18
5.4299999999999,0.97692596761102,3.0892352947796e+18
5.4399999999999,0.97711525648277,3.0898338640498e+18
5.4499999999999,0.97730299274806,3.0904275236679e+18
5.4599999999999,0.97748918913767,3.0910163138911e+18
5.4699999999999,0.97767385827803,3.0916002746468e+18
5.4799999999999,0.97785701269215,3.0921794455351e+18
5.4899999999999,0.97803866480042,3.0927538658319e+18
5.4999999999999,0.97821882692147,3.0933235744911e+18
5.5099999999999,0.97839751127298,3.0938886101474e+18
5.5199999999999,0.97857472997254,3.0944490111192e+18
5.5299999999999,0.97875049503842,3.0950048154105e+18
5.5399999999999,0.97892481839044,3.0955560607142e+18
5.5499999999999,0.97909771185072,3.0961027844143e+18
5.5599999999999,0.97926918714453,3.0966450235884e+18
5.5699999999999,0.97943925590104,3.0971828150103e+18
5.5799999999999,0.97960792965412,3.0977161951523e+18
5.5899999999999,0.97977521984315,3.098245200188e+18
5.5999999999999,0.97994113781374,3.0987698659946e+18
5.6099999999999,0.98010569481852,3.0992902281551e+18
5.6199999999999,0.98026890201793,3.0998063219611e+18
5.6299999999999,0.98043077048092,3.1003181824148e+18
5.6399999999999,0.98059131118575,3.1008258442316e+18
5.6499999999999,0.98075053502069,3.1013293418424e+18
5.6599999999999,0.98090845278479,3.1018287093961e+18
5.6699999999999,0.98106507518859,3.1023239807613e+18
5.6799999999999,0.98122041285484,3.1028151895296e+18
5.6899999999999,0.98137447631924,3.1033023690167e+18
5.6999999999999,0.98152727603114,3.1037855522657e+18
5.7099999999999,0.98167882235425,3.1042647720486e+18
5.7199999999999,0.98182912556732,3.104740060869e+18
5.7299999999999,0.98197819586487,3.1052114509639e+18
5.7399999999999,0.98212604335787,3.1056789743063e+18
5.7499999999999,0.98227267807439,3.1061426626068e+18
5.7599999999999,0.98241810996034,3.1066025473166e+18
5.7699999999999,0.98256234888007,3.1070586596285e+18
5.7799999999999,0.9827054046171,3.1075110304802e+18
5.7899999999999,0.98284728687476,3.1079596905554e+18
5.7999999999999,0.98298800527682,3.1084046702864e+18
5.8099999999999,0.9831275693682,3.1088459998561e+18
5.8199999999999,0.98326598861555,3.1092837092001e+18
5.8299999999999,0.98340327240793,3.1097178280084e+18
5.8399999999999,0.98353943005745,3.1101483857277e+18
5.8499999999999,0.98367447079986,3.1105754115633e+18
5.8599999999999,0.98380840379524,3.1109989344813e+18
5.8699999999999,0.98394123812854,3.1114189832101e+18
5.8799999999999,0.98407298281026,3.1118355862426e+18
5.8899999999999,0.98420364677704,3.1122487718384e+18
5.8999999999999,0.98433323889224,3.1126585680251e+18
5.9099999999999,0.98446176794659,3.1130650026007e+18
5.9199999999999,0.98458924265873,3.1134681031354e+18
5.9299999999999,0.98471567167584,3.1138678969733e+18
5.9399999999999,0.98484106357421,3.1142644112344e+18
5.9499999999999,0.98496542685981,3.1146576728161e+18
5.9599999999999,0.9850887699689,3.1150477083956e+18
5.9699999999999,0.98521110126856,3.1154345444314e+18
5.9799999999999,0.98533242905728,3.1158182071649e+18
5.9899999999999,0.98545276156552,3.1161987226225e+18
5.9999999999999,0.98557210695627,3.1165761166171e+18
6.0099999999999,0.98569047332558,3.1169504147502e+18
6.0199999999999,0.98580786870315,3.1173216424131e+18
6.0299999999999,0.98592430105282,3.1176898247892e+18
6.0399999999999,0.98603977827316,3.1180549868554e+18
6.0499999999999,0.98615430819798,3.1184171533836e+18
6.0599999999999,0.98626789859685,3.1187763489429e+18
6.0699999999999,0.98638055717564,3.1191325979008e+18
6.0799999999999,0.98649229157707,3.119485924425e+18
6.0899999999999,0.98660310938117,3.1198363524851e+18
6.0999999999999,0.98671301810582,3.1201839058542e+18
6.1099999999999,0.98682202520728,3.1205286081105e+18
6.1199999999999,0.98693013808067,3.1208704826387e+18
6.1299999999999,0.98703736406047,3.121209552632e+18
6.1399999999999,0.98714371042103,3.1215458410934e+18
6.1499999999999,0.98724918437705,3.1218793708371e+18
6.1599999999999,0.98735379308408,3.1222101644905e+18
6.1699999999999,0.98745754363901,3.1225382444953e+18
6.1799999999999,0.98756044308051,3.1228636331092e+18
6.1899999999999,0.98766249838958,3.1231863524075e+18
6.1999999999999,0.98776371648993,3.1235064242845e+18
6.2099999999999,0.98786410424855,3.1238238704548e+18
6.2199999999999,0.98796366847608,3.1241387124551e+18
6.2299999999999,0.98806241592735,3.1244509716455e+18
6.2399999999999,0.98816035330178,3.1247606692109e+18
6.2499999999999,0.98825748724387,3.1250678261626e+18
